price,Sales Package,Model Number,Part Number,Series,Color,Type,Suitable For,Battery Backup,Power Supply,MS Office Provided,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Chipset,Clock Speed,Memory Slots,Expandable Memory,RAM Frequency,Cache,Graphic Processor,Number of Cores,OS Architecture,Operating System,System Architecture,Mic In,RJ45,USB Port,HDMI Port,Hardware Interface,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Sound Properties,Refresh Rate,Wireless LAN,Bluetooth,Ethernet,Dimensions,Weight,Disk Drive,Web Camera,Finger Print Sensor,Keyboard,Backlit Keyboard,Pointer Device,Additional Features,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,HDD Capacity,RPM,Sound Chip,Lock Port,Model Name,Supported Operating System,Multi Card Slot,Included Software,Battery Cell,Security Chip,TGP,International Warranty,S-video,RJ11,VGA Port,NFC Support,Face Recognition,Laptop Bag,Antivirus,Dock Port,Firewire Port,Read/Write Speed,Wireless WAN,Stylus Included,Other Accessories,Optane Memory,Inbuilt 4G LTE,Recovery Options,EMMC Storage Capacity
"61,990","Laptop, Power Adaptor, User Guide, Warranty Documents",15IMH05,81Y401APIN/81Y4017UIN,IdeaPad Gaming 3,Onyx Black,Gaming Laptop,"Gaming, Processing & Multitasking",Upto 8 hours,135 W Slim Tip Adapter,No,GDDR6,4 GB,Intel,Core i5,10th Gen,Yes,512 GB,8 GB,DDR4,10300H,Intel HM470,2.50 GHz with Turbo Boost Upto 4.50 GHz,2 Slots,Upto 16 GB,2933 MHz,8 MB,NVIDIA GeForce GTX 1650,4,64 bit,Windows 10 Home,64 bit,Yes,Yes,"1 x USB-C 3.2 (1st Gen), 2 x USB 3.2 (1st Gen)",1x HDMI Port (v2.0),NVMe PCIe,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit Anti-glare IPS Display (120Hz Refresh Rate, 250 nits Brightness)",Built-in Dual Speakers,Dual Array Microphone,"1.5 W x 2 Stereo Speakers, Dolby Audio",120 Hz,AX 2x2 (WiFi 6),v5.0,100/1000M,359 x 249.6 x 24.9 mm,2.2 kg,Not Available,720p Webcam (with Privacy Shutter),No,Blue LED Backlit English Keyboard,Yes,Touchpad,"Rapid Charge Technology, Integrated 45Wh Battery, Cooling System with Dual Vents and Dual Action Fans",1 Year Warranty + 1 Year Premium Care + 1 Year ADP,Onsite,"(1) Manufacturer’s warranty against faulty workmanship or defective parts; (2) ADP-Single repair once in year against all Liquid spills, unintentional bump and drops, electric surge, cracks on screen; (3) Premium Care- 24x7 on call support, Software support in case of HDD failure","(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty; (3) Premium Care & ADP- Not covered in case of Theft, fire, rain, flood and part alteration",1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"67,990","Laptop, Power Adaptor, User Guide, Warranty Documents",15ARH05,82B500MMIN||82B500BHIN,Legion 5,Phantom Black,Gaming Laptop,"Gaming, Processing & Multitasking",Upto 7.1 hours,170 W Slim Tip Adapter,No,GDDR6,4 GB,AMD,Ryzen 5 Hexa Core,,Yes,256 GB,8 GB,DDR4,4600H,AMD SoC,3.0 GHz with Turbo Boost Upto 4.0 GHz,2 Slots,Upto 32 GB,3200 MHz,11 MB,NVIDIA GeForce GTX 1650,6,64 bit,Windows 10 Home,64 bit,Yes,Yes,"3 x USB 3.2 (1st Gen), 1 x USB 3.2 1st Gen (Always On), 1 x USB-C 3.2 Gen 1 (Support Data Transfer and DisplayPort 1.2)",1x HDMI Port (v2.0),NVMe PCIe,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit Anti-glare IPS Display (120Hz Refresh Rate, 45% NTSC Color Gamut, 250 nits Brightness, DC dimmer, 4 Sided Narrow Bezel (Active Area 84%))",Built-in Dual Speakers,Dual Array Microphone,"2W x 2 Stereo Speakers, Dolby Atmos for Gaming, HARMAN-branded Speakers",120 Hz,AX 2x2 (WiFi 6),v5.0,100/1000M,363.06 x 259.61 x 24 mm,2.3 kg,Not Available,720p Webcam (with Privacy Shutter),No,"White Backlit, English Keyboard",Yes,Touchpad,"Integrated 60Wh Battery, Lenovo Q-Control 3.0, Hybrid Mode, Rapid Charge Pro (0-50% in 30 Mins), Anti-oil and High Abrasion Polymer Blend, 100% Anti-ghosting Keyboard, Legion Coldfront 2.0",1 Year Warranty + 1 Year Legion Ultimate Support + 1 Year ADP,Onsite,"(1) Manufacturer’s warranty against faulty workmanship or defective parts; (2) ADP-Single repair once in year against all Liquid spills, unintentional bump and drops, electric surge, cracks on screen; (3) Gamer centric support 24x7 on call support, Software support in case of HDD failure","(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty; (3) Premium Care & ADP- Not covered in case of Theft, fire, rain, flood and part alteration",1 Year,1 TB,5400,Realtek ALC3287,Kensington Security Slot,,,,,,,,,,,,,,,,,,,,,,,,,
"34,990","Laptop, battery, adapter, cables and user manuals",15IML05,"81WB0193IN, 81WB01BNIN, 81WB01EAIN, 81WB018EIN",IdeaPad 3,Platinum Grey,Thin and Light Laptop,Processing & Multitasking,Upto 11.5 hours,45W Round Tip,Yes,,,Intel,Core i3,10th Gen,Yes,256 GB,8 GB,DDR4,10110U,,Max Frequency Up to 4.1 GHz,,,,,Intel Integrated UHD,,,Windows 11 Home,,Yes,,"1 x USB 2.0, 2 x USB 3.2 Gen 1",1 x HDMI 1.4 b,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD TN 220nits Anti-glare,Built-in Stereo Speakers,Built-in array microphone,2 x 1.5W Stereo Speakers with Dolby Audio,,"11ac, 2x2",v5.0,,362.2 x 253.4 x 19.9 mm,2.38 kg,Not Available,720p with Privacy Shutter,No,"Non-backlit, English",No,,45Wh,2 Years Warranty,Onsite,Manufacturer’s warranty against faulty workmanship or defective parts,(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty,2 Year,,,,,15IML05,Windows 11,1 x card reader,Microsoft Office Home & Student 2019,,,,,,,,,,,,,,,,,,,,,
"41,990","Laptop, Power Adaptor, User Guide, Warranty Documents",15s-fq2629TU,546K7PA#ACJ,,Natural Silver,Thin and Light Laptop,"Everyday Use, Processing & Multitasking",,,Yes,,,Intel,Core i3,11th Gen,Yes,512 GB,8 GB,DDR4,1125G4,,1.7 GHz upto max turbo frequency at 3.7 Ghz,,,,8,Intel Integrated UHD,4,64 bit,Windows 11 Home,,Yes,,"1 x SuperSpeed USB Type-C 5Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",1x HDMI 1.4b,,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",Built-in Dual Speakers,Built-in Dual Array Digital Microphones,,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,v5.0,,358 x 242 x 17.9 mm,1.69 KG,Not Available,HP True Vision 720p HD camera,No,"Full-size, Natural Silver Keyboard with Numeric Keypad",No,,"41 Wh Li-ion Battery, Support battery fast charge",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,,15s-fq2629TU,Windows 11 Home,1 x card reader,"""Microsoft Office Home & Student 2019, HP Documentation, HP SSRM, HP Smart """,3 cell,,,,,,,,,,,,,,,,,,,,
"38,990","Laptop, Power Adaptor, Battery, Warranty Documents, User Guide",14s- dy2506TU,546K2PA#ACJ,,Natural Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,,,Intel,Core i3,11th Gen,Yes,256 GB,8 GB,DDR4,1125G4,,1.7 GHz Upto Max Turbo Frequency at 4.1 GHz,,,,8,Intel Integrated UHD,4,64 bit,Windows 11 Home,64 bit,Yes,,"1 x SuperSpeed USB Type-C 5Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",1 x HDMI 1.4b,PCIe NVMe M.2,No,35.56 cm (14 inch),1920 x 1080 Pixel,"Full HD, IPS Brightview,micro-edge,WLED- Backlit, Brightness: 250 nits, 157 ppi, Color Gamut: 45%NTSC",Built-in Dual Speakers,Built-in Dual Array Microphone,,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,v5.0,,324 x 225 x 17.9 mm,1.46 kg,Not Available,HP True Vision 720p HD camera,No,"Full-size, natural silver keyboard",No,HP Imagepad with multi-touch gesture support,"41 Wh Li-ion, Support battery fast charge",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,,14s- dy2506TU,Windows 11 Home,1 multi-format SD media card reader,Microsoft Office Home & Student 2019,3 Cell,"Energy Star Certified, EPEAT Silver Registered",,,,,,,,,,,,,,,,,,,
"34,990","Laptop, Power Adaptor, User Guide, Warranty Documents",15s-GY0501AU,4R8B8PA#ACJ,,Natural Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,,,AMD,Ryzen 3 Dual Core,,Yes,256 GB,8 GB,DDR4,3250U,,2.6 GHz to max turbo frequency at 3.5 Ghz,,,,,AMD Radeon AMD,2,64 bit,Windows 10 Home,,,,"1 x SuperSpeed USB Type-C, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",1x HDMI 1.4 port,,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD (Micro-edge, anti-glare, Brightness: 220 nits, 141 ppi, Color Gamut: 45% NTSC)",Built-in Dual Speakers,Built-in dual array digital microphones,,,RTL8821CE 802.11b/g/n/ac (1x1),v4.2,10/100/1000 GbE LAN,358 x 242 x 17.9 mm,1.69 kg,Not Available,HP True Vision 720p HD camera,No,"Full-size, natural silver keyboard with numeric keypad",No,HP Imagepad with multi-touch gesture support,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,,15s-GY0501AU,Windows 11,1 multi-format SD media card reader,Office Home and Student 2019 included,3 cell,,,,,,,,,,,,,,,,,,,,
"29,990","Laptop, Power Adaptor, User Guide, Warranty Documents",X515JA-BQ302W,90NB0SR2-M01XC0|90NB0SR2-M00R30,VivoBook 15,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,,45W AC Adapter,No,,,Intel,Core i3,10th Gen,No,,8 GB,DDR4,1005G1,,1.2 GHz upto max turbo frequency at 3.4 Ghz,,,,4,Intel Integrated UHD,2,64 bit,Windows 11 Home,,Yes,Yes,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1 x HDMI 1.4,,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD, LED Backlit, IPS-level Panel, 45% NTSC Color Gamut, Anti-Glare display",Built-in Speaker,Built-in Microphone,SonicMaster,,Wi-Fi 5(802.11ac),v4.1,,360.2 x 234.9 x 19.9 mm,1.80 kg,Not Available,VGA Camera,Yes,Chiclet Keyboard with Num-key,No,,37 WHrs Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,1 TB,,,,X515JA-BQ302W,Windows 11 Home,,,2 cell,,,,,,,,,,,,,,,,,,,,
"1,39,990","Laptop, battery, power adapter, user guide",Stealth 15M A11UEK-227IN,9S7-156311-227,Stealth 15M,Carbon Gray,Gaming Laptop,Processing & Multitasking,,150W Adapter,No,GDDR6,6 GB,Intel,Core i7,11th Gen,Yes,1 TB,16 GB,DDR4,11375H,,5 GHz Max Turbo Boost Frequency,,,,,NVIDIA GeForce RTX 3060,,64 bit,Windows 10 Home,64,,No,"2 x Type-A USB3.2 Gen1, 1x Type-C (USB3.2 Gen2 / DP), 1x Type-C (USB4 / DP / Thunderbolt 4) with PD charging",1 x HDMI Port,,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit IPS Display (144Hz Refresh Rate, 45%NTSC Color Gamut)",Built in Dual Speakers,Built-in Microphones,2x 2W Stereo Speakers,144 Hz,Intel Wi-Fi 6 AX201(2*2 ax),v5.1,,358.3 x 248 x 16.15,1.7 KG,Not Available,720p HD Webcam (30fps@720p),,RGB Gaming Keyboard,Yes,Touchpad,"3-Cell, 52 Whr Battery",2 Year Warranty Term for Gaming & Content Creation (EU-WE),Carry-In Warranty,Part Failure,"Physical Damage, Burn, Liquid Spill",,,,Realtek ALC233,,Stealth 15M A11UEK-227IN,,1x Micro SD Card Reader,"Silver-Lining Print, Cooler Boost, Audio Boost, Dragon Center, Nahimic 3",3,,65 W,,,,,,,,,,,,,,,,,,
"38,990","Laptop, Power Adaptor, User Guide, Warranty Documents",A315-58,NX.ADDSI.00N,Aspire 3,Pure Silver,Notebook,"Entertainment, Everyday Use, Gaming, Performance, Processing & Multitasking, Travel & Business",Upto 9 hours,45 W AC Adapter,Yes,,,Intel,Core i3,11th Gen,Yes,512 GB,8 GB,DDR4,1115G4,,4.10,,,,6,Intel Integrated UHD Graphics,2,64 bit,Windows 11 Home,64,Yes,Yes,"2 x USB 3.2 port, 1 x USB port",1 x HDMI Port,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, Acer ComfyView LED-backlit TFT LCD, 16:9 aspect ratio",Built-in Dual Speakers,Built-in Dual Microphone,,,802.11a/b/g/n/ac wireless LAN,v5.0,"Gigabit Ethernet, Wake-on-LAN Ready",363.4 x 238.4 x 19.9 mm,1.7 Kg,Not Available,720p HD Webcam,,100-/101-/104-key FineTip keyboard with independent numeric keypad,No,Touchpad with Multi-touch Gesture Support,"36.7 Wh Li-ion battery pack,",1 Year International Travelers Warranty (ITW),Onsite,Manufacturing Defects,Physical Damage,,,,,,A315-58,Windows 11 Home,,,2,,,1 Year,,,,,,,,,,,,,,,,,
"29,990","Laptop, Power Adaptor, User Guide, Warranty Documents",XL11,71008300077 | 71008300050,INBook X1,Starfall Grey,Thin and Light Laptop,"Everyday Use, Performance, Processing & Multitasking",Up to 13 hours,65 W AC Adapter,No,DDR4,,Intel,Core i3,10th Gen,Yes,256 GB,8 GB,LPDDR4X,1005G1,Intel Core i3,1.2 GHz Max Frequency Upto 3.4GHz,1,,,,Intel Integrated UHD,2,64 bit,Windows 11 Home,64 bit,Yes,No,"1 x USB 2.0, 2 x USB 3.0",1 x HDMI1.4,PCIE 3.0,No,35.56 cm (14 inch),1920 x 1080 Pixel,"Full HD IPS Display ( 300nits peak brightness, 100% sRGB, NTSC 72%)",Built-in Speakers,Built-in Dual Microphone,DTS Audio Processing,,,v5.1,,323.5 x 219.5 x 16.3,1.48 kg,Not Available,720P HD,No,Backlit Keyboard,Yes,,Microsoft Office 365 with one month free trial,1 year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,,INBook X1,Windows 11,,,,,,,No,No,No,No,No,No,,,,,,,,,,,
