price,Color,Type,MS Office Provided,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Clock Speed,Operating System,Touchscreen,Screen Size,Screen Resolution,Bluetooth,Weight,Disk Drive
61990.0,Onyx Black,Gaming Laptop,0.0,Intel,Core i5,1,512.0,8,DDR4,2.5,Windows 10 Home,0,39.62,1920.0,5.0,2.2,Not Available
67990.0,Phantom Black,Gaming Laptop,0.0,AMD,Ryzen 5 Hexa Core,1,256.0,8,DDR4,3.0,Windows 10 Home,0,39.62,1920.0,5.0,2.3,Not Available
34990.0,Platinum Grey,Thin and Light Laptop,1.0,Intel,Core i3,1,256.0,8,DDR4,4.1,Windows 11 Home,0,39.62,1920.0,5.0,2.38,Not Available
41990.0,Natural Silver,Thin and Light Laptop,1.0,Intel,Core i3,1,512.0,8,DDR4,1.7,Windows 11 Home,0,39.62,1920.0,5.0,1.69,Not Available
38990.0,Natural Silver,Thin and Light Laptop,1.0,Intel,Core i3,1,256.0,8,DDR4,1.7,Windows 11 Home,0,35.56,1920.0,5.0,1.46,Not Available
34990.0,Natural Silver,Thin and Light Laptop,1.0,AMD,Ryzen 3 Dual Core,1,256.0,8,DDR4,2.6,Windows 10 Home,0,39.62,1920.0,4.2,1.69,Not Available
29990.0,Transparent Silver,Thin and Light Laptop,0.0,Intel,Core i3,0,0.0,8,DDR4,1.2,Windows 11 Home,0,39.62,1920.0,4.1,1.8,Not Available
139990.0,Carbon Gray,Gaming Laptop,0.0,Intel,Core i7,1,1024.0,16,DDR4,2.1,Windows 10 Home,0,39.62,1920.0,5.1,1.7,Not Available
38990.0,Pure Silver,Notebook,1.0,Intel,Core i3,1,512.0,8,DDR4,4.1,Windows 11 Home,0,39.62,1920.0,5.0,1.7,Not Available
29990.0,Starfall Grey,Thin and Light Laptop,0.0,Intel,Core i3,1,256.0,8,LPDDR4X,1.2,Windows 11 Home,0,35.56,1920.0,5.1,1.48,Not Available
24990.0,Charcoal Black,Laptop,0.0,AMD,Dual Core,1,256.0,4,DDR4,1.2,Windows 11 Home,0,35.56,1366.0,5.1,1.9,Not Available
109990.0,Mica Silver,Gaming Laptop,0.0,AMD,Ryzen 7 Octa Core,1,1024.0,16,DDR4,4.4,Windows 10 Home,0,39.62,1920.0,5.0,2.37,Not Available
34990.0,Transparent Silver,Thin and Light Laptop,1.0,Intel,Core i3,1,256.0,8,DDR4,1.7,Windows 11 Home,0,39.62,1920.0,4.1,1.8,Not Available
83990.0,Black,Gaming Laptop,0.0,Intel,Hexa Core i5,1,512.0,16,DDR4,2.5,Windows 10 Home,0,39.62,1920.0,5.1,1.86,Not Available
47990.0,Natural Silver,Thin and Light Laptop,1.0,AMD,Ryzen 5 Hexa Core,1,512.0,8,DDR4,2.1,Windows 11 Home,0,35.56,1920.0,4.2,1.46,Not Available
54990.0,Black,Gaming Laptop,0.0,Intel,Core i5,1,512.0,8,DDR4,2.4,Windows 10 Home,0,39.62,1920.0,5.0,2.15,Not Available
38990.0,Platinum Grey,Thin and Light Laptop,1.0,Intel,Core i3,1,512.0,8,DDR4,2.1,Windows 11 Home,0,39.62,1920.0,5.0,1.7,Not Available
32990.0,Transparent Silver,Thin and Light Laptop,1.0,Intel,Core i3,1,512.0,4,DDR4,1.2,Windows 11 Home,0,39.62,1920.0,4.1,1.8,Not Available
35999.0,Accent Black,Thin and Light Laptop,1.0,Intel,Core i3,1,256.0,4,DDR4,1.7,Windows 11 Home,0,35.56,1920.0,5.0,1.59,Not Available
58990.0,Black,Gaming Laptop,0.0,Intel,Hexa Core i5,1,256.0,8,DDR4,2.5,Windows 10 Home,0,39.62,1920.0,5.1,1.86,Not Available
41990.0,Arctic Grey,Thin and Light Laptop,1.0,Intel,Core i3,1,512.0,8,DDR4,1.7,Windows 11 Home,0,39.62,1920.0,5.0,1.65,Not Available
36990.0,Transparent Silver,Thin and Light Laptop,1.0,Intel,Core i3,1,512.0,8,DDR4,1.2,Windows 11 Home,0,39.62,1920.0,4.1,1.8,Not Available
40990.0,Black,Thin and Light Laptop,1.0,Intel,Core i3,1,256.0,8,DDR4,1.2,Windows 11 Home,0,39.62,1920.0,5.0,1.8,Not Available
76527.0,Onyx Black,Gaming Laptop,0.0,Intel,Core i7,1,512.0,8,DDR4,2.6,Windows 10 Home,0,39.62,1920.0,5.0,2.2,Not Available
67990.0,Phantom Black,Gaming Laptop,0.0,AMD,Ryzen 5 Hexa Core,1,256.0,8,DDR4,3.0,Windows 10 Home,0,39.62,1920.0,5.0,2.3,Not Available
139990.0,Carbon Gray,Gaming Laptop,0.0,Intel,Core i7,1,1024.0,16,DDR4,4.4,Windows 10 Home,0,39.62,1920.0,5.1,1.7,Not Available
34990.0,Platinum Grey,Thin and Light Laptop,1.0,Intel,Core i3,1,256.0,8,DDR4,4.1,Windows 11 Home,0,39.62,1920.0,5.0,2.38,Not Available
29990.0,Transparent Silver,Thin and Light Laptop,0.0,Intel,Core i3,0,0.0,8,DDR4,1.2,Windows 11 Home,0,39.62,1920.0,4.1,1.8,Not Available
41990.0,Natural Silver,Thin and Light Laptop,1.0,Intel,Core i3,1,512.0,8,DDR4,1.7,Windows 11 Home,0,39.62,1920.0,5.0,1.69,Not Available
29990.0,Starfall Grey,Thin and Light Laptop,0.0,Intel,Core i3,1,256.0,8,LPDDR4X,1.2,Windows 11 Home,0,35.56,1920.0,5.1,1.48,Not Available
41990.0,Arctic Grey,Thin and Light Laptop,1.0,Intel,Core i3,1,512.0,8,DDR4,1.7,Windows 11 Home,0,39.62,1920.0,5.0,1.65,Not Available
109990.0,Mica Silver,Gaming Laptop,0.0,AMD,Ryzen 7 Octa Core,1,1024.0,16,DDR4,4.4,Windows 10 Home,0,39.62,1920.0,5.0,2.37,Not Available
38990.0,Natural Silver,Thin and Light Laptop,1.0,Intel,Core i3,1,256.0,8,DDR4,1.7,Windows 11 Home,0,35.56,1920.0,5.0,1.46,Not Available
34990.0,Natural Silver,Thin and Light Laptop,1.0,AMD,Ryzen 3 Dual Core,1,256.0,8,DDR4,2.6,Windows 10 Home,0,39.62,1920.0,4.2,1.69,Not Available
38990.0,Transparent Silver,Thin and Light Laptop,1.0,Intel,Core i3,1,256.0,8,DDR4,3.0,Windows 11 Home,0,39.62,1920.0,4.1,1.8,Not Available
54990.0,Black,Gaming Laptop,0.0,Intel,Core i5,1,512.0,8,DDR4,2.4,Windows 10 Home,0,39.62,1920.0,5.0,2.15,Not Available
47990.0,Natural Silver,Thin and Light Laptop,1.0,AMD,Ryzen 5 Hexa Core,1,512.0,8,DDR4,2.1,Windows 11 Home,0,35.56,1920.0,4.2,1.46,Not Available
38990.0,Pure Silver,Notebook,1.0,Intel,Core i3,1,512.0,8,DDR4,4.1,Windows 11 Home,0,39.62,1920.0,5.0,1.7,Not Available
38990.0,Platinum Grey,Thin and Light Laptop,1.0,Intel,Core i3,1,512.0,8,DDR4,2.1,Windows 11 Home,0,39.62,1920.0,5.0,1.7,Not Available
58990.0,Black,Gaming Laptop,0.0,Intel,Hexa Core i5,1,256.0,8,DDR4,2.5,Windows 10 Home,0,39.62,1920.0,5.1,1.86,Not Available
34990.0,Transparent Silver,Thin and Light Laptop,1.0,Intel,Core i3,1,256.0,8,DDR4,1.7,Windows 11 Home,0,39.62,1920.0,4.1,1.8,Not Available
36990.0,Transparent Silver,Thin and Light Laptop,1.0,Intel,Core i3,1,512.0,8,DDR4,1.2,Windows 11 Home,0,39.62,1920.0,4.1,1.8,Not Available
40990.0,Jet Black,Thin and Light Laptop,1.0,Intel,Core i3,1,512.0,8,DDR4,3.7,Windows 11 Home,0,39.62,1920.0,5.0,1.69,Not Available
61990.0,Onyx Black,Gaming Laptop,0.0,Intel,Core i5,1,512.0,8,DDR4,2.5,Windows 10 Home,0,39.62,1920.0,5.0,2.2,Not Available
29990.0,Noble Red,Thin and Light Laptop,0.0,Intel,Core i3,1,256.0,8,LPDDR4X,1.2,Windows 11 Home,0,35.56,1920.0,5.1,1.48,Not Available
